index,article_id,article_span,span_start,span_end,tAnger,tFear,tJoy,tSadness,tValence,tEmotion,tEmotionScore,tSentiment,tSentimentScore,label
32,111111115,"and squeezed  "" at least twice """,2389,2418,0.365,0.445,0.424,0.41,0.479,fear,4,negative,-1,Loaded_Language
33,111111117,the delay signaled the White House was having second thoughts about the nomination.,671,754,0.476,0.491,0.119,0.458,0.312,fear,5,negative,-1,Causal_Oversimplification
34,111111122,Exploding in Trump  '  s Face,24,49,0.479,0.42,0.238,0.406,0.378,anger,5,negative,-1,Loaded_Language
35,111111122,the biggest political gift possible,170,206,0.331,0.318,0.406,0.334,0.612,joy,4,positive,1,"Exaggeration,Minimisation"
36,111111122,complete hash,343,357,0.337,0.311,0.406,0.325,0.555,joy,4,positive,1,Loaded_Language
37,111111122,how badly Trump does his job,449,478,0.46,0.351,0.23,0.447,0.413,anger,5,negative,-1,Doubt
38,111111122,reflected the reality-TV star  '  s weakness as a presidential candidate,888,956,0.331,0.383,0.241,0.363,0.483,no specific emotion,0,neutral,0,Doubt
39,111111122,reality-TV star  '  s,902,920,0.234,0.262,0.413,0.281,0.585,joy,4,positive,1,"Name_Calling,Labeling"
40,111111122,Trump is easily manipulated by those around him,1475,1522,0.385,0.345,0.203,0.383,0.425,anger,4,negative,-1,Doubt
41,111111122,cut-of-his-jib test,1636,1656,0.393,0.403,0.245,0.414,0.427,sadness,4,negative,-1,Loaded_Language
42,111111122,severe trouble,3210,3224,0.501,0.515,0.158,0.556,0.34,sadness,6,negative,-1,Loaded_Language
43,111111122,Trump hasn  '  t learned it yet,3413,3440,0.404,0.305,0.203,0.372,0.436,anger,4,negative,-1,Doubt
44,111111122,extremely high-profile episode,3489,3520,0.437,0.46,0.236,0.502,0.42,sadness,5,negative,-1,"Exaggeration,Minimisation"
45,111111122,Trump and his White House staff failed to do their jobs,3991,4047,0.467,0.404,0.144,0.528,0.35,sadness,5,negative,-1,Doubt
46,111111122,a slur on all women,4449,4469,0.481,0.341,0.301,0.425,0.383,anger,5,negative,-1,Loaded_Language
47,111111122,a gang that can  '  t shoot straight,5027,5060,0.465,0.439,0.211,0.456,0.411,anger,5,negative,-1,"Name_Calling,Labeling"
48,111111122,ugly ways,5131,5141,0.446,0.424,0.17,0.549,0.342,sadness,5,negative,-1,Loaded_Language
49,111111122,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",5529,5653,0.443,0.463,0.168,0.394,0.385,fear,5,negative,-1,Appeal_to_Authority
50,111111122,cut-of-his-jib test,5778,5798,0.393,0.403,0.245,0.414,0.427,sadness,4,negative,-1,Loaded_Language
51,111111122,someone who hires based on what he thinks someone doing that job should look like,5840,5921,0.424,0.366,0.308,0.403,0.502,no specific emotion,0,neutral,0,Causal_Oversimplification
52,111111122,hazy old-time Hollywood casting,5950,5981,0.359,0.237,0.28,0.285,0.497,no specific emotion,0,neutral,0,Loaded_Language
53,111111122,bombshells,6441,6452,0.334,0.312,0.283,0.35,0.439,sadness,4,negative,-1,Loaded_Language
54,111111122,"partisan, conservative judges",6839,6868,0.368,0.374,0.2,0.388,0.447,sadness,4,negative,-1,"Name_Calling,Labeling"
55,111111123,"hypocritical,",4321,4334,0.618,0.444,0.13,0.549,0.244,anger,6,very negative,-2,Loaded_Language
56,111111124,has blasted,2650,2662,0.391,0.4,0.302,0.446,0.463,sadness,4,negative,-1,Loaded_Language
57,111111124,are blasting,4098,4111,0.382,0.336,0.305,0.417,0.475,sadness,4,negative,-1,Loaded_Language
58,111111124,a President who cares about nothing about the country and everything about his narrow self-interest,4661,4760,0.358,0.295,0.326,0.391,0.534,joy,3,positive,1,"Name_Calling,Labeling"
59,111111124,sheer number,3368,3381,0.435,0.336,0.348,0.377,0.453,anger,4,negative,-1,"Exaggeration,Minimisation"
60,111111124,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,4622,4760,0.394,0.346,0.226,0.414,0.459,sadness,4,negative,-1,Flag-Waving
61,111111124,Agencies scramble,0,18,0.372,0.348,0.258,0.457,0.442,sadness,5,negative,-1,Loaded_Language
62,111111124,were scrambling,107,123,0.388,0.364,0.315,0.398,0.441,sadness,4,negative,-1,Loaded_Language
63,111111124,has hamstrung the administration for more than 18 months,282,338,0.502,0.446,0.301,0.48,0.372,anger,5,negative,-1,Loaded_Language
64,111111124,disgraced former FBI officials,510,541,0.508,0.438,0.167,0.486,0.375,anger,5,negative,-1,"Name_Calling,Labeling"
65,111111124,fired FBI Special Agent,2478,2502,0.471,0.435,0.272,0.398,0.458,anger,5,negative,-1,"Name_Calling,Labeling"
66,111111124,are touting the president  '  s order,3557,3590,0.389,0.324,0.241,0.416,0.458,sadness,4,negative,-1,Loaded_Language
67,111111124,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,4170,4377,0.475,0.47,0.171,0.412,0.391,anger,5,negative,-1,Causal_Oversimplification
68,111111124,a red line that must not be crossed,4540,4576,0.431,0.347,0.174,0.419,0.343,anger,4,negative,-1,Loaded_Language
69,111111124,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,4622,4760,0.394,0.346,0.226,0.414,0.459,sadness,4,negative,-1,Doubt
70,111111124,a partisan memo,4920,4936,0.358,0.437,0.266,0.42,0.452,fear,4,negative,-1,"Name_Calling,Labeling"
71,111111124,clear abuse of power,4144,4164,0.55,0.43,0.148,0.486,0.35,anger,6,negative,-1,"Name_Calling,Labeling"
72,111111131,unprecedented,84,97,0.374,0.409,0.334,0.457,0.44,sadness,5,negative,-1,Loaded_Language
73,111111131,surreal,102,109,0.354,0.421,0.323,0.454,0.453,sadness,5,negative,-1,Loaded_Language
74,111111131,culminated,180,190,0.366,0.41,0.319,0.437,0.437,sadness,4,negative,-1,Loaded_Language
75,111111131,fulsome,207,214,0.415,0.382,0.325,0.442,0.455,sadness,4,negative,-1,Loaded_Language
76,111111131,triumphant,326,336,0.332,0.26,0.51,0.353,0.635,joy,5,positive,1,Loaded_Language
77,111111131,extraordinary,352,365,0.361,0.361,0.444,0.426,0.517,no specific emotion,0,neutral,0,Loaded_Language
78,111111131,rogue kingdom,382,395,0.291,0.343,0.357,0.356,0.475,sadness,4,negative,-1,"Name_Calling,Labeling"
79,111111131,despotic leader,398,413,0.419,0.438,0.228,0.335,0.46,fear,4,negative,-1,"Name_Calling,Labeling"
80,111111131,dramatic,723,731,0.404,0.393,0.301,0.407,0.477,sadness,4,negative,-1,Loaded_Language
81,111111131,forever,804,811,0.223,0.291,0.45,0.434,0.523,joy,4,positive,1,"Exaggeration,Minimisation"
82,111111131,"Trump ' s gut-driven, norm-shattering tenure.",823,866,0.454,0.445,0.246,0.41,0.396,anger,5,negative,-1,"Name_Calling,Labeling"
83,111111131,People are going to be very impressed,1031,1068,0.372,0.408,0.496,0.368,0.664,joy,5,positive,1,Black-and-White_Fallacy
84,111111131,unwavering,1191,1201,0.326,0.284,0.328,0.402,0.468,sadness,4,negative,-1,Loaded_Language
85,111111131,brutal dictator,1977,1992,0.519,0.557,0.217,0.562,0.398,sadness,6,negative,-1,"Name_Calling,Labeling"
86,111111131,unthinkable,2660,2671,0.493,0.487,0.391,0.593,0.409,sadness,6,negative,-1,Loaded_Language
87,111111131,acrimonious,2728,2739,0.568,0.497,0.209,0.522,0.304,anger,6,negative,-1,Loaded_Language
88,111111131,big problem,2897,2908,0.445,0.406,0.144,0.497,0.332,sadness,5,negative,-1,Loaded_Language
89,111111131,big dilemma,2912,2923,0.413,0.492,0.117,0.542,0.327,sadness,5,negative,-1,Loaded_Language
90,111111131,"Working together, we ' ll get it taken care of",2953,2997,0.292,0.329,0.438,0.368,0.616,joy,4,positive,1,Slogans
91,111111131,increasing the drama,3396,3416,0.341,0.286,0.397,0.343,0.521,joy,4,positive,1,Loaded_Language
92,111111131,historic,3437,3445,0.291,0.32,0.326,0.345,0.522,joy,3,positive,1,Loaded_Language
93,111111131,surreality,3738,3748,0.344,0.357,0.366,0.35,0.54,joy,4,positive,1,Loaded_Language
94,111111131,hailed,4008,4014,0.338,0.407,0.347,0.431,0.475,sadness,4,negative,-1,Loaded_Language
95,111111131,historic,4030,4038,0.291,0.32,0.326,0.345,0.522,joy,3,positive,1,Repetition
96,111111131,very talented man,4152,4169,0.299,0.224,0.529,0.28,0.66,joy,5,positive,1,"Name_Calling,Labeling"
97,111111131,brutal,4224,4230,0.511,0.604,0.224,0.614,0.355,sadness,6,negative,-1,Loaded_Language
98,111111131,praising,4256,4264,0.195,0.158,0.563,0.255,0.686,joy,6,positive,1,Loaded_Language
99,111111131,very talented,4339,4352,0.316,0.231,0.447,0.335,0.636,joy,4,positive,1,Repetition
100,111111131,brutal dictator,4531,4546,0.519,0.557,0.217,0.562,0.398,sadness,6,negative,-1,Repetition
101,111111131,striking,4635,4643,0.367,0.407,0.317,0.467,0.447,sadness,5,negative,-1,Loaded_Language
102,111111131,fierce criticism,4752,4768,0.511,0.391,0.215,0.527,0.341,sadness,5,negative,-1,Loaded_Language
103,111111131,fearsome renegade,4882,4899,0.461,0.48,0.281,0.451,0.391,fear,5,negative,-1,Loaded_Language
104,111111131,""" absolutely """,5174,5186,0.362,0.352,0.485,0.384,0.56,joy,5,positive,1,Loaded_Language
105,111111131,heralded a new era,5244,5262,0.3,0.32,0.445,0.374,0.594,joy,4,positive,1,"Exaggeration,Minimisation"
106,111111131,historic,5281,5289,0.291,0.32,0.326,0.345,0.522,joy,3,positive,1,Repetition
107,111111131,The world,5369,5378,0.317,0.328,0.372,0.406,0.512,no specific emotion,0,neutral,0,"Exaggeration,Minimisation"
108,111111131,our soldiers,5904,5916,0.297,0.232,0.312,0.392,0.534,joy,3,positive,1,Flag-Waving
109,111111131,our soldiers,5938,5950,0.297,0.232,0.312,0.392,0.534,joy,3,positive,1,Flag-Waving
110,111111131,our soldiers,5938,5950,0.297,0.232,0.312,0.392,0.534,joy,3,positive,1,Repetition
111,111111131,commanding leader,6920,6937,0.352,0.323,0.285,0.442,0.495,no specific emotion,0,neutral,0,"Name_Calling,Labeling"
112,111111131,world-altering,6957,6971,0.352,0.362,0.365,0.447,0.434,sadness,4,negative,-1,"Exaggeration,Minimisation"
113,111111131,futuristic,7314,7324,0.321,0.414,0.344,0.421,0.492,no specific emotion,0,neutral,0,"Name_Calling,Labeling"
114,111111131,dictator,7700,7708,0.411,0.431,0.25,0.499,0.434,sadness,5,negative,-1,Repetition
115,111111132,foundation of lies,7925,7943,0.436,0.43,0.201,0.552,0.374,sadness,6,negative,-1,Loaded_Language
116,111111132,huge,147,151,0.329,0.316,0.433,0.405,0.515,no specific emotion,0,neutral,0,Loaded_Language
117,111111132,beneficial,2262,2272,0.365,0.364,0.341,0.425,0.474,sadness,4,negative,-1,"Name_Calling,Labeling"
118,111111132,a good thing,2280,2292,0.272,0.227,0.448,0.293,0.628,joy,4,positive,1,"Name_Calling,Labeling"
119,111111132,Bypassing the class left her vulnerable to bullying,4198,4249,0.457,0.577,0.138,0.537,0.3,fear,6,very negative,-2,Black-and-White_Fallacy
120,111111132,"""  You don  '  t need to be reading this.
You need to be reading the Bible.  """,4427,4497,0.411,0.314,0.276,0.349,0.44,anger,4,negative,-1,Black-and-White_Fallacy
121,111111132,going to hell,4307,4320,0.573,0.648,0.219,0.686,0.289,sadness,7,very negative,-2,Appeal_to_fear-prejudice
122,111111132,strongly,4779,4787,0.4,0.348,0.314,0.455,0.428,sadness,5,negative,-1,Loaded_Language
123,111111132,pretty clear,7582,7594,0.246,0.107,0.414,0.252,0.654,joy,4,positive,1,Loaded_Language
124,111111132,You are not a Christian,8607,8630,0.429,0.291,0.167,0.384,0.383,anger,4,negative,-1,"Name_Calling,Labeling"
125,111111132,"(Faber was nominated by President George H.W.
Bush.)",9597,9651,0.31,0.384,0.276,0.372,0.517,no specific emotion,0,neutral,0,"Whataboutism,Straw_Men,Red_Herring"
126,111111132,"very, very",10340,10350,0.464,0.402,0.336,0.466,0.394,sadness,5,negative,-1,Loaded_Language
127,111111132,extremely,10851,10860,0.382,0.428,0.284,0.459,0.418,sadness,5,negative,-1,Loaded_Language
128,111111132,liberty of conscience is not up for a vote,12045,12087,0.372,0.314,0.194,0.433,0.514,no specific emotion,0,neutral,0,Slogans
129,111111132,"If you die tonight.
Heaven or Hell?",5776,5811,0.47,0.508,0.232,0.536,0.372,sadness,5,negative,-1,Black-and-White_Fallacy
130,111111133,ominous encroachment,1224,1244,0.443,0.45,0.209,0.409,0.418,fear,4,negative,-1,Loaded_Language
131,111111133,grandstanding,2593,2606,0.357,0.351,0.381,0.391,0.514,no specific emotion,0,neutral,0,Loaded_Language
132,111111133,behave or else,4159,4173,0.457,0.372,0.24,0.481,0.422,sadness,5,negative,-1,Black-and-White_Fallacy
133,111111133,ballooned,358,367,0.394,0.312,0.338,0.38,0.479,anger,4,negative,-1,Loaded_Language
134,111111133,testy,460,465,0.402,0.334,0.248,0.431,0.389,sadness,4,negative,-1,Loaded_Language
135,111111133,ire,504,507,0.0,0.0,0.0,0.0,0.0,no specific emotion,0,neutral,0,Loaded_Language
136,111111133,insults,1070,1077,0.52,0.495,0.109,0.592,0.316,sadness,6,negative,-1,Loaded_Language
137,111111133,overly aggressive,2572,2589,0.49,0.447,0.177,0.448,0.325,anger,5,negative,-1,Loaded_Language
138,111111133,devoted news consumer,2625,2646,0.263,0.255,0.458,0.318,0.651,joy,5,positive,1,"Name_Calling,Labeling"
139,111111133,severe,2944,2950,0.516,0.516,0.147,0.592,0.257,sadness,6,very negative,-2,Loaded_Language
140,111111133,flouts,3830,3836,0.369,0.3,0.275,0.433,0.468,sadness,4,negative,-1,Loaded_Language
141,111111134,totally false and deliberately libelous,945,984,0.532,0.398,0.283,0.438,0.427,anger,5,negative,-1,"Name_Calling,Labeling"
142,111111134,willing to bet the Guardian a million dollars and its editor  '  s head that Manafort never met Assange,1415,1514,0.489,0.392,0.279,0.367,0.456,anger,5,negative,-1,"Exaggeration,Minimisation"
143,111111134,I have never,1225,1238,0.408,0.473,0.246,0.491,0.434,sadness,5,negative,-1,Repetition
144,111111134,government-aligned cyberspies,2427,2457,0.414,0.439,0.18,0.416,0.448,fear,4,negative,-1,"Name_Calling,Labeling"
145,111111135,"Adolf Hitler as   ""  a very great man",3286,3319,0.41,0.376,0.446,0.317,0.647,joy,4,positive,1,"Bandwagon,Reductio_ad_hitlerum"
146,111111135,condemn,4583,4590,0.462,0.428,0.17,0.498,0.322,sadness,5,negative,-1,Repetition
147,111111135,filth and degenerate behavior,582,612,0.532,0.461,0.202,0.5,0.323,anger,5,negative,-1,Loaded_Language
148,111111135,"Jews were   ""  responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men",543,683,0.604,0.491,0.243,0.454,0.324,anger,6,negative,-1,Causal_Oversimplification
149,111111135,fervently,835,844,0.338,0.366,0.478,0.447,0.473,sadness,4,negative,-1,Loaded_Language
150,111111135,condemn,1476,1484,0.462,0.428,0.17,0.498,0.322,sadness,5,negative,-1,Loaded_Language
151,111111135,"Edward E. Curtis IV, the author of   ""  Black Muslim Religion in the Nation of Islam,  ""   said that while estimates ranged wildly about how many bona fide members belonged to the Nation, he believes that there were tens of thousands of members in the 1960s and early 1970s.
But he said that millions of others sympathized with the movement  '  s anticolonial stance and were inspired by its most famous member, Muhammad Ali",1929,2341,0.391,0.434,0.299,0.371,0.502,no specific emotion,0,neutral,0,Appeal_to_Authority
152,111111135,"the white man  ""   as   ""  the white devil",2984,3018,0.455,0.428,0.259,0.388,0.39,anger,5,negative,-1,"Name_Calling,Labeling"
153,111111135,outspokenly and flagrantly anti-Zionist,3045,3084,0.538,0.464,0.336,0.477,0.384,anger,5,negative,-1,Loaded_Language
154,111111135,"his 1984 description of Adolf Hitler as   ""  a very great man",3262,3319,0.374,0.37,0.365,0.321,0.599,joy,4,positive,1,"Exaggeration,Minimisation"
155,111111135,to condemn,4580,4591,0.48,0.461,0.141,0.594,0.307,sadness,6,negative,-1,Loaded_Language
156,111111135,make me shudder,6524,6539,0.452,0.456,0.34,0.478,0.39,sadness,5,negative,-1,Loaded_Language
157,111111135,harmful and divisive views,6813,6839,0.373,0.409,0.224,0.444,0.415,sadness,4,negative,-1,Loaded_Language
158,111111135,"an   ""  outstanding human being",7009,7036,0.319,0.248,0.29,0.464,0.482,no specific emotion,0,neutral,0,"Exaggeration,Minimisation"
159,111111135,wildly,2045,2052,0.36,0.416,0.332,0.447,0.444,sadness,4,negative,-1,Loaded_Language
160,111111135,Why were Tamika Mallory and Danny Davis reluctant to denounce him,4433,4498,0.43,0.416,0.2,0.408,0.329,anger,4,negative,-1,Doubt
161,111111135,monthlong backlash,7134,7153,0.346,0.355,0.372,0.414,0.494,no specific emotion,0,neutral,0,Loaded_Language
162,111111136,stamped out,1243,1254,0.435,0.317,0.29,0.433,0.452,anger,4,negative,-1,Loaded_Language
163,111111136,"This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly ... have fought to create for so many years",1874,2026,0.279,0.265,0.544,0.25,0.695,joy,5,positive,1,Flag-Waving
164,111111137,poison pill,2321,2332,0.505,0.56,0.2,0.575,0.294,sadness,6,very negative,-2,Loaded_Language
165,111111137,the worst school shootings in US history,143,183,0.531,0.662,0.078,0.594,0.271,fear,7,very negative,-2,"Exaggeration,Minimisation"
166,111111137,hailed,2058,2065,0.338,0.407,0.347,0.431,0.475,sadness,4,negative,-1,Loaded_Language
167,694327499,"for   ""  certain  ""   public adulterers",9221,9252,0.454,0.36,0.323,0.358,0.488,no specific emotion,0,neutral,0,Loaded_Language
168,694327499,cunning ecclesiastical politician,11573,11606,0.351,0.355,0.347,0.339,0.545,joy,3,positive,1,Loaded_Language
169,694327499,"All of the critics of AL are wrong - every one of them! - because, you see, the original Latin text does not say what the English text does.",1366,1503,0.449,0.364,0.212,0.363,0.373,anger,4,negative,-1,Causal_Oversimplification
170,694327499,And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow,2798,2874,0.482,0.394,0.185,0.426,0.332,anger,5,negative,-1,Loaded_Language
171,694327499,our intrepid presenters,3032,3055,0.3,0.339,0.377,0.374,0.511,no specific emotion,0,neutral,0,"Name_Calling,Labeling"
172,694327499,all those ignorant critics of AL,3656,3688,0.571,0.404,0.19,0.551,0.304,anger,6,negative,-1,"Name_Calling,Labeling"
173,694327499,all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven  '  t consulted the Latin text -,4811,4934,0.525,0.443,0.171,0.437,0.329,anger,5,negative,-1,Causal_Oversimplification
174,694327499,those ignorant Vatican translators.,4944,4979,0.609,0.419,0.066,0.514,0.282,anger,6,very negative,-2,"Name_Calling,Labeling"
175,694327499,But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line.,5950,6080,0.532,0.622,0.208,0.505,0.31,fear,6,negative,-1,Loaded_Language
176,694327499,Our dynamic translators,6320,6343,0.294,0.259,0.312,0.277,0.552,joy,3,positive,1,"Name_Calling,Labeling"
177,694327499,"synodal charade,",9393,9409,0.352,0.347,0.276,0.345,0.466,anger,4,negative,-1,Loaded_Language
178,694327499,"In a sense, what Bergoglio is doing is worse than explicit heresy",9630,9695,0.514,0.43,0.191,0.44,0.332,anger,5,negative,-1,Appeal_to_fear-prejudice
179,694327499,"the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants.",11470,11662,0.432,0.368,0.253,0.332,0.534,joy,3,positive,1,"Name_Calling,Labeling"
180,694327499,the grim reality of this unprecedented pontificate,11720,11770,0.532,0.636,0.223,0.582,0.324,fear,6,negative,-1,Loaded_Language
181,694327499,"the old reliable   ""  mistranslation",110,142,0.365,0.382,0.338,0.387,0.553,joy,3,positive,1,Loaded_Language
182,694327499,"But wait, there  '  s more",6296,6318,0.361,0.411,0.331,0.338,0.459,fear,4,negative,-1,Thought-terminating_Cliches
183,694356862,reckless appeasement,86,106,0.519,0.381,0.162,0.478,0.4,anger,5,negative,-1,Loaded_Language
184,694356862,disastrous,820,830,0.553,0.518,0.148,0.529,0.265,anger,6,very negative,-2,Loaded_Language
185,694356862,"""  It  '  s a new monster.  """,2377,2400,0.411,0.437,0.34,0.409,0.462,fear,4,negative,-1,Loaded_Language
186,694356862,milquetoast,4680,4691,0.349,0.315,0.282,0.313,0.429,anger,3,negative,-1,Loaded_Language
187,694356862,Barack Obama ' s reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat,71,171,0.509,0.554,0.143,0.47,0.365,fear,6,negative,-1,Causal_Oversimplification
188,694356862,turned his back on millions of dissidents,270,311,0.459,0.428,0.261,0.47,0.44,sadness,5,negative,-1,"Exaggeration,Minimisation"
189,694356862,giving rise to ISIS  '  s re-emergence in Iraq,532,574,0.465,0.565,0.229,0.45,0.458,fear,6,negative,-1,Causal_Oversimplification
190,694356862,turning Iraq into a virtual vassal state of the largest state sponsor of terrorism,713,795,0.582,0.638,0.172,0.514,0.332,fear,6,negative,-1,"Exaggeration,Minimisation"
191,694356862,"legitimized Iran ' s path to eventually becoming a nuclear-armed state,",854,923,0.4,0.481,0.281,0.348,0.486,no specific emotion,0,neutral,0,Causal_Oversimplification
192,694356862,American blood,2754,2768,0.323,0.274,0.4,0.371,0.471,sadness,4,negative,-1,Flag-Waving
193,694356862,could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome.,5069,5185,0.557,0.635,0.114,0.553,0.311,fear,6,negative,-1,Appeal_to_fear-prejudice
194,694356862,Whether the Trump administration follows through remains to be seen.,5363,5431,0.394,0.384,0.155,0.413,0.373,sadness,4,negative,-1,Doubt
195,694356862,virtual vassal,733,747,0.375,0.398,0.307,0.407,0.438,sadness,4,negative,-1,Loaded_Language
196,694811415,Paddock could not have carried out the massacre,274,321,0.457,0.525,0.218,0.453,0.344,fear,5,negative,-1,Black-and-White_Fallacy
197,694811415,"I  '  m not a big conspiracy theory guy, but it don  '  t sit right",854,913,0.39,0.44,0.254,0.434,0.387,fear,4,negative,-1,Thought-terminating_Cliches
198,694811415,Paddock  '  s body may have been left in the hotel room while other assailants carried out the shooting,1013,1112,0.475,0.617,0.289,0.448,0.385,fear,6,negative,-1,Doubt
199,694811415,"after virtually every terror attack and mass shooting, friends and neighbors express shock",1629,1719,0.486,0.785,0.219,0.608,0.373,fear,8,negative,-1,"Bandwagon,Reductio_ad_hitlerum"
200,694811415,I can tell you 100% this is not that kind of guy,498,546,0.454,0.489,0.246,0.403,0.38,fear,5,negative,-1,Appeal_to_Authority
201,694811415,It  '  s gotta be a set-up,1,23,0.489,0.41,0.31,0.439,0.468,anger,5,negative,-1,Doubt
202,695833178,This throws their entire narrative into question and makes one wonder what else is being hidden from the public?,1992,2105,0.416,0.456,0.149,0.427,0.362,fear,5,negative,-1,Doubt
